APOGEE_ID,MATCHED_ID,Object_Type,Spectral_Type,Radial_Vel
2M13271705-4724065,N/A,HB*,,N/A
2M17345523-3259251,N/A,*,,N/A
2M15281240+4340086,N/A,PM*,M3.39,N/A
2M12014432-0241176,N/A,*,,N/A
2M06011106+5935508,N/A,PM*,M4.0V,N/A
2M05502415-5501484,N/A,*,,N/A
2M21424836-3133340,N/A,Pe*,,N/A
2M04571231-7108352,N/A,*,G5,N/A
2M06334130-6237090,N/A,Pe*,,N/A
2M13331045-3302193,N/A,Pe*,,N/A
2M19295235+1746565,N/A,RG*,,N/A
2M05153665-6901111,N/A,*,,N/A
2M09570267+1711061,N/A,Pe*,,N/A
2M15575386-2317531,N/A,Y*O,M4.5,N/A
2M07570269-7204219,N/A,*,,N/A
2M05101752-7023261,N/A,LP*,,N/A
2M07113964-6525534,N/A,*,,N/A
2M07261961-6517597,N/A,*,,N/A
2M14234562-6226085,N/A,*,,N/A
2M06030086-5847443,N/A,*,,N/A
2M17164804-3717174,N/A,LP?,,N/A
2M07041637-7338301,N/A,*,,N/A
2M21390345-3043298,N/A,*,,N/A
2M19404195+2349500,N/A,Pe*,M3.8,N/A
2M15570146-2046184,N/A,Or*,M4,N/A
