APOGEE_ID,TELESCOPE,FIELD,SNR,STARFLAG,ASPCAPFLAG,VHELIO_AVG,TEFF,LOGG,FE_H
2M13271705-4724065,lco25m,Omegacen,153.50572,0,0,237.82048,5039.722,1.7183342,-1.8742
2M17345523-3259251,lco25m,355+00,139.62012,0,0,-303.8264,3638.8591,0.4416455,-0.43369
2M15281240+4340086,apo25m,072+55_MGA,394.827,0,0,-5.272579,3427.2898,4.6860948,
2M12014432-0241176,lco25m,K2_C10_281+58,335.8406,0,0,8.599811,5027.791,3.350379,-0.22902
2M06011106+5935508,apo1m,Mdwarfs,237.30806,0,0,1.513337,3365.859,4.6845183,
2M05502415-5501484,lco25m,263-30-O_TESS,336.39764,0,0,11.304521,4881.4136,2.7597034,-0.36565
2M21424836-3133340,lco25m,Sgr_tidal1,120.70078,0,0,-12.886429,4356.651,0.99231994,-1.423
2M04571231-7108352,lco25m,283-34-O_TESS,104.20037,0,0,5.733083,6007.145,4.3328733,0.074866
2M06334130-6237090,lco25m,LMC25,103.30666,0,0,342.7078,4087.6133,0.8114385,-1.0095
2M13331045-3302193,lco25m,313+29,125.64293,0,0,137.09695,5236.247,2.1888077,-1.2272
2M19295235+1746565,apo25m,053+00,740.99866,0,0,66.89294,4035.603,1.5763357,0.048602
2M05153665-6901111,lco25m,279-34-O_TESS,118.24847,0,0,10.151845,5181.7373,3.700924,-0.098193
2M09570267+1711061,apo25m,217+49_MGA,114.70448,0,0,-35.167744,4538.3564,1.2556341,-1.3249
2M15575386-2317531,lco25m,350+23-O,126.19519,0,0,-6.8556166,3240.793,4.566253,
2M07570269-7204219,lco25m,284-20-O_TESS,400.7415,0,0,59.570538,5014.926,2.4411137,-0.54093
2M05101752-7023261,lco25m,LMC_VdS,225.32018,0,0,260.15393,3913.6855,0.76852924,-0.51344
2M07113964-6525534,lco25m,276-22-O_TESS,327.06143,0,0,61.443905,4224.9395,1.8266039,-0.31115
2M07261961-6517597,lco25m,277-20-O_TESS,102.18872,0,0,79.41702,4613.6846,2.6900668,-0.11546
2M14234562-6226085,lco25m,315-02-O,604.59045,0,0,-2.2532074,4141.839,1.7243783,0.074373
2M06030086-5847443,lco25m,267-29-O_TESS,291.574,0,0,50.79056,5110.97,3.3011208,-0.27122
2M17164804-3717174,lco25m,350+00,192.00974,0,0,-7.649105,4266.495,1.9600649,0.16989
2M07041637-7338301,lco25m,284-24-O_TESS,114.83319,0,0,58.830074,4920.758,3.5253556,0.23651
2M21390345-3043298,lco25m,Sgr_tidal1,196.29486,0,0,-10.143165,4731.8315,3.1013098,0.28973
2M19404195+2349500,apo25m,060+00_btx,156.9735,0,0,2.6501696,3345.0518,4.685633,
2M15570146-2046184,lco25m,351+24-O,155.8762,0,0,-6.8581867,3311.6355,4.4493103,
