APOGEE_ID,TELESCOPE,FIELD,SNR,STARFLAG,ASPCAPFLAG,VHELIO_AVG,TEFF,LOGG,FE_H
2M19420744+4434430,apo25m,K15_077+10,411.59323,0,0,-12.380755,4773.814,2.6083622,-0.36592
2M19140192+4601218,apo25m,K06_078+16,168.98999,0,0,11.637113,4981.415,2.7081027,-0.37329
2M18271521+7420237,apo25m,CVZTILE_106+27_btx,144.10306,0,0,-21.43682,6111.6895,3.996234,-0.13726
2M05440415+0044429,apo25m,ORIONB-A,192.53952,0,0,51.524483,5071.527,3.5011263,0.094551
2M22121208+4030250,apo25m,094-12,129.99088,0,0,-75.29019,4499.0405,1.8302481,-0.73102
2M19235107-0723414,apo25m,030-12,127.28035,0,0,45.156372,4641.2046,2.4833627,0.074803
2M08275859-4945068,lco25m,266-06,189.5731,0,0,109.54476,4244.965,1.4864013,-0.33276
2M08140831+3940019,apo25m,181+32_btx,536.98364,0,0,11.260633,4852.0347,2.4095309,-0.21699
2M06203524+4122430,apo25m,173+12,165.275,0,0,16.861197,4939.5693,2.7730148,-0.47697
2M17192016-2319189,apo25m,K2_C11_001+07_btx,298.40494,0,0,-58.758125,4584.686,2.3355079,0.14856
2M18581456+4224444,apo25m,K13_071+16,135.76591,0,0,10.723543,4818.0063,2.438328,-0.17903
2M05281538-6955499,lco25m,280-32-O_TESS,408.09717,0,0,15.639037,4875.163,2.4385207,-0.2507
2M01434012+3755025,apo25m,135-24_btx,816.31757,0,0,-15.76968,3935.8994,0.9307418,-0.49071
2M17114984-1838480,lco25m,005+12,107.63239,0,0,61.696747,4172.2026,1.3706479,-0.68151
2M23173948-5238322,lco25m,JHelum4,178.62552,0,0,34.088596,6113.768,4.002542,-0.21236
2M00004872+5647031,apo25m,N7789,134.80795,0,0,-72.94874,4745.3276,2.4868248,-0.011237
2M09384238-3648529,lco25m,266+12,316.98337,0,0,-0.5629252,4993.844,2.8605945,-0.32511
2M22541853+0841230,apo25m,080-45,566.10065,0,0,8.883134,5952.4805,4.026336,0.015265
2M18533021+4106484,apo25m,K13_071+16,880.5615,0,0,-42.620083,4633.365,2.4435616,-0.08715
2M17034540+3255297,apo25m,055+36_MGA,387.17636,0,0,20.149294,4664.3853,2.5696573,-0.19575
2M23244604+4738247,apo25m,109-12,118.2573,0,0,-94.547325,4793.001,2.4500937,-0.51306
2M08102456+3241403,apo25m,SGR1,460.11502,0,0,34.428795,4991.882,3.3035774,-0.28266
2M23203008+0155185,apo25m,K2_C12_082-54_btx,686.97833,0,0,-8.586537,4598.014,2.481173,0.077208
2M06573912+2416449,apo25m,191+12,320.79245,0,0,-0.9850296,4656.3125,2.4963224,0.045659
2M02063384+1424203,apo25m,149-46_MGA,664.2166,0,0,-9.575486,4696.35,2.5414982,-0.30322
2M04493619-6851137,lco25m,LMC4,133.37088,0,0,243.24968,3921.621,0.72603405,-0.64815
2M18473568-2915002,apo25m,SGRC3,236.33684,0,0,-23.56777,3559.7139,0.98458964,0.31918
